Vehicle_ID,State,Vehicle_Type,Fuel_Type,EV_Status,Manufacturer,Model,Year_of_Manufacture,Units_Sold,Price,Mileage_kmpl,CO2_Emission_g_km,Registration_City
V0167,Uttarakhand,Bus,Petrol,No,Tata,Punch,2014,9495,2371018,13.1,152.0,Lucknow
V0168,West Bengal,Truck,Diesel,No,Tata,Nexon,2023,13864,801903,22.9,135.3,Hyderabad
V0169,West Bengal,Bus,Hybrid,No,Tata,Nexon,2017,14891,1053300,25.7,147.1,Hyderabad
V0170,Kerala,SUV,Hybrid,No,Mahindra,Bolero,2012,6873,754983,20.2,104.7,Bengaluru
V0171,Madhya Pradesh,Bus,Diesel,No,Volvo,9400,2014,14154,2300167,25.9,195.5,Ahmedabad
V0172,Karnataka,Car,Petrol,No,Kia,Sonet,2010,9648,2436299,13.8,141.2,Jaipur
V0173,Jharkhand,Auto,Hybrid,No,Piaggio,Porter,2015,12360,1897086,22.0,166.7,Lucknow
V0174,Chhattisgarh,Bus,Hybrid,No,Tata,Punch,2018,13817,333334,10.5,191.4,Chennai
V0175,Haryana,SUV,Petrol,No,MG,Hector,2024,10719,359328,13.9,172.9,Chennai
V0176,Madhya Pradesh,Van,Electric,Yes,Force Motors,Gurkha,2011,3027,1923461,0.0,0.0,Ahmedabad
V0177,Assam,Bike,Electric,Yes,TVS,Jupiter,2017,1433,971512,0.0,0.0,Jaipur
V0178,Delhi,Auto,Electric,Yes,TVS,Apache,2022,8384,349672,0.0,0.0,Mumbai
V0179,Uttar Pradesh,Van,Hybrid,No,Maruti,Alto,2022,12917,1857228,26.3,137.8,Jaipur
V0180,Karnataka,Van,Electric,Yes,Force Motors,Traveller,2021,10540,1117551,0.0,0.0,Mumbai
V0181,Punjab,Bike,Diesel,No,Hero,Splendor,2014,6051,140264,27.4,146.8,Kochi
V0182,Karnataka,Bus,Petrol,No,Tata,Tiago,2012,886,2182533,13.6,183.8,Hyderabad
V0183,Telangana,Bike,Hybrid,No,Honda,Amaze,2024,12902,2474907,16.3,139.1,Kochi
V0184,Telangana,Van,Electric,Yes,Tata,Tiago,2015,6940,319365,0.0,0.0,Kochi
V0185,Andhra Pradesh,Car,Hybrid,No,Kia,Seltos,2021,13079,963331,27.7,113.2,Chennai
V0186,Odisha,SUV,Petrol,No,Mahindra,Bolero,2011,14179,1459871,29.7,113.7,Bengaluru
V0187,Kerala,Bike,Diesel,No,Bajaj,Chetak,2017,8524,1325866,18.4,113.9,Kochi
V0188,Punjab,Car,Electric,Yes,Hyundai,Creta,2017,9818,978921,0.0,0.0,Kolkata
V0189,Chhattisgarh,Car,Hybrid,No,Toyota,Innova,2024,11367,486498,10.8,162.4,Bengaluru
V0190,Andhra Pradesh,Van,Petrol,No,Force Motors,Traveller,2023,4777,514917,14.0,119.9,Mumbai
V0191,Karnataka,Van,Petrol,No,Maruti,Ertiga,2020,1243,2299911,11.7,176.6,Delhi
V0192,Tamil Nadu,Bike,Electric,Yes,Royal Enfield,Classic 350,2022,12110,1825464,0.0,0.0,Ahmedabad
V0193,Punjab,Car,Diesel,No,Honda,Amaze,2017,9361,632460,11.2,123.9,Jaipur
V0194,Delhi,Truck,Petrol,No,Mahindra,Jeeto,2024,13691,1181030,16.4,192.8,Delhi
V0195,Karnataka,Van,Petrol,No,Force Motors,Gurkha,2015,7875,395530,11.4,197.0,Kochi
V0196,Gujarat,Van,Hybrid,No,Tata,Nexon,2015,10962,1786016,15.7,149.2,Delhi
V0197,Rajasthan,Bike,Electric,Yes,Royal Enfield,Hunter 350,2023,3396,1412161,0.0,0.0,Jaipur
V0198,Maharashtra,Truck,Electric,Yes,Mahindra,Bolero,2014,12911,1428364,0.0,0.0,Hyderabad
V0199,Assam,Auto,Petrol,No,TVS,Apache,2023,13357,2037574,13.0,137.3,Kochi
V0200,Andhra Pradesh,Car,Petrol,No,Kia,Sonet,2022,2608,2078735,22.5,189.4,Jaipur
V0201,Gujarat,Auto,Hybrid,No,TVS,Apache,2014,3607,1133051,23.1,115.3,Lucknow
V0202,Kerala,Bus,Hybrid,No,Tata,Punch,2013,8526,1931878,21.1,102.9,Chennai
V0203,Andhra Pradesh,SUV,Hybrid,No,MG,Astor,2023,9800,1472245,20.7,114.3,Jaipur
V0204,Punjab,Auto,Hybrid,No,Bajaj,Pulsar,2022,992,370385,17.2,150.1,Ahmedabad
V0205,Andhra Pradesh,Bike,Electric,Yes,Honda,Amaze,2018,1255,1935771,0.0,0.0,Lucknow
V0206,Tamil Nadu,Bike,Diesel,No,Royal Enfield,Classic 350,2024,6163,1763273,29.2,125.5,Kolkata
V0207,Chhattisgarh,Truck,Petrol,No,Eicher,Pro 2049,2012,6647,1459666,26.4,169.6,Lucknow
V0208,Delhi,Van,Hybrid,No,Maruti,Ertiga,2023,13994,2442447,12.3,101.8,Ahmedabad
V0209,Telangana,SUV,Diesel,No,Hyundai,Venue,2018,2139,1697108,17.1,106.4,Kochi
V0210,Andhra Pradesh,Car,Electric,Yes,Hyundai,i20,2018,14363,355743,0.0,0.0,Ahmedabad
V0211,Chhattisgarh,Truck,Petrol,No,Mahindra,Bolero,2023,7140,1310507,23.1,141.5,Jaipur
V0212,Delhi,SUV,Diesel,No,Mahindra,Bolero,2021,10453,832012,27.5,119.9,Hyderabad
V0213,Punjab,Truck,Hybrid,No,Mahindra,Bolero,2018,4188,2141746,11.1,140.3,Mumbai
V0214,Punjab,Auto,Petrol,No,TVS,Apache,2018,305,1690501,11.7,150.9,Bengaluru
V0215,Uttar Pradesh,Auto,Diesel,No,TVS,Apache,2024,1102,847392,16.9,185.4,Lucknow
V0216,West Bengal,Van,Petrol,No,Maruti,Swift,2020,12897,241298,16.5,108.5,Lucknow
V0217,Maharashtra,Bike,Electric,Yes,Royal Enfield,Classic 350,2021,12484,1389690,0.0,0.0,Chennai
V0218,Uttarakhand,Auto,Diesel,No,Bajaj,Pulsar,2021,4805,2038811,16.2,152.2,Ahmedabad
V0219,Madhya Pradesh,Van,Hybrid,No,Force Motors,Traveller,2012,6840,2100756,10.9,173.0,Kolkata
V0220,Bihar,Car,Hybrid,No,Tata,Punch,2016,364,1194493,13.9,145.2,Jaipur
V0221,Punjab,Car,Electric,Yes,Honda,City,2010,1497,321270,0.0,0.0,Ahmedabad
V0222,Delhi,Auto,Electric,Yes,Piaggio,Ape,2017,3767,1356808,0.0,0.0,Delhi
V0223,Andhra Pradesh,SUV,Hybrid,No,Mahindra,Bolero,2019,10374,530384,21.6,104.9,Delhi
V0224,Tamil Nadu,SUV,Diesel,No,Mahindra,Bolero,2011,12387,889023,13.0,170.7,Mumbai
V0225,Uttar Pradesh,Bus,Electric,Yes,Volvo,9600,2010,5014,828617,0.0,0.0,Mumbai
V0226,Punjab,Bike,Hybrid,No,Hero,HF Deluxe,2021,13092,2161020,24.0,104.5,Bengaluru
V0227,Assam,Car,Diesel,No,Honda,Amaze,2024,7029,2283766,14.6,188.0,Hyderabad
V0228,Tamil Nadu,Bus,Diesel,No,Ashok Leyland,Dost,2013,5265,545668,10.1,182.9,Delhi
V0229,Madhya Pradesh,Van,Hybrid,No,Maruti,Swift,2017,1112,705334,17.8,127.0,Delhi
V0230,Uttar Pradesh,Truck,Hybrid,No,Mahindra,Jeeto,2021,13460,779997,17.2,142.8,Chennai
V0231,Gujarat,Truck,Petrol,No,Tata,Punch,2021,2899,1002466,26.1,166.0,Ahmedabad
V0232,Uttarakhand,Van,Diesel,No,Force Motors,Traveller,2023,908,1258834,17.3,178.6,Delhi
V0233,Tamil Nadu,Van,Diesel,No,Tata,Punch,2014,14753,1924291,12.5,170.4,Chennai
V0234,Telangana,Bus,Diesel,No,Volvo,9400,2016,6104,315708,21.5,194.0,Bengaluru
V0235,Uttarakhand,Auto,Diesel,No,TVS,Jupiter,2017,9248,1748377,26.5,124.2,Delhi
V0236,Uttarakhand,Bike,Petrol,No,Bajaj,Pulsar,2012,14510,2084641,24.4,116.8,Ahmedabad
V0237,Uttarakhand,Car,Hybrid,No,Honda,Amaze,2024,9860,1207288,18.1,175.5,Chennai
V0238,Delhi,Van,Hybrid,No,Force Motors,Traveller,2011,10278,2322031,22.5,140.9,Hyderabad
V0239,Kerala,Car,Electric,Yes,Toyota,Fortuner,2010,7383,2146098,0.0,0.0,Kochi
V0240,Chhattisgarh,Truck,Diesel,No,Tata,Tiago,2010,11160,158699,15.0,130.8,Ahmedabad
V0241,Kerala,Bike,Petrol,No,Hero,Splendor,2015,8261,1202130,18.1,199.1,Kolkata
V0242,Bihar,Car,Petrol,No,Hyundai,Creta,2019,654,1449464,14.0,135.8,Chennai
V0243,Chhattisgarh,Bike,Diesel,No,Bajaj,Chetak,2019,11017,1771910,27.2,154.7,Hyderabad
V0244,Assam,Bike,Hybrid,No,Bajaj,Chetak,2011,14937,2407417,18.2,165.3,Kochi
V0245,West Bengal,Bus,Hybrid,No,Volvo,9600,2024,2858,473369,23.1,142.3,Chennai
V0246,Rajasthan,SUV,Diesel,No,MG,Hector,2015,4857,2070639,27.8,166.1,Kolkata
V0247,Kerala,SUV,Electric,Yes,Hyundai,i20,2014,1708,844969,0.0,0.0,Delhi
V0248,Maharashtra,SUV,Petrol,No,Mahindra,Bolero,2023,1403,161979,16.0,121.8,Jaipur
